Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id
ERR3653992,WXS,252,19465712532,PRJEB33640,SAMEA5820614,6927378426,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646008,SAMEA5820614,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:06:00Z,1,SAMEA5820614,CRC0691_LMX_WES,ERP116450,CRC0691_LMX_WES
ERR3653993,WXS,252,16697915136,PRJEB33640,SAMEA5820615,5896298040,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646009,SAMEA5820615,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:11:00Z,1,SAMEA5820615,CRC0691_XL_WES,ERP116450,CRC0691_XL_WES
ERR3653994,WXS,252,18583891452,PRJEB33640,SAMEA5820616,6948558797,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646010,SAMEA5820616,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:10:00Z,1,SAMEA5820616,CRC0740_LMX_WES,ERP116450,CRC0740_LMX_WES
ERR3653995,WXS,252,15980104728,PRJEB33640,SAMEA5820617,6059786174,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646011,SAMEA5820617,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:10:00Z,1,SAMEA5820617,CRC0740_XL_WES,ERP116450,CRC0740_XL_WES
ERR3653996,WXS,252,15792290892,PRJEB33640,SAMEA5820618,5615538707,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646012,SAMEA5820618,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:15:00Z,1,SAMEA5820618,CRC0778_LMX_WES,ERP116450,CRC0778_LMX_WES
ERR3653997,WXS,252,16939417068,PRJEB33640,SAMEA5820619,6305637667,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646013,SAMEA5820619,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:15:00Z,1,SAMEA5820619,CRC0778_XL_WES,ERP116450,CRC0778_XL_WES
ERR3653998,WXS,252,14873420268,PRJEB33640,SAMEA5820620,5514076811,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646014,SAMEA5820620,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:16:00Z,1,SAMEA5820620,CRC0781_LMX_WES,ERP116450,CRC0781_LMX_WES
ERR3653999,WXS,252,15543781848,PRJEB33640,SAMEA5820621,5673030151,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646015,SAMEA5820621,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:19:00Z,1,SAMEA5820621,CRC0781_XL_WES,ERP116450,CRC0781_XL_WES
ERR3654000,WXS,252,15793069572,PRJEB33640,SAMEA5820622,6095745758,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646016,SAMEA5820622,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:19:00Z,1,SAMEA5820622,IRCC_1_LMX_WES,ERP116450,IRCC_1_LMX_WES
ERR3654001,WXS,252,16199543052,PRJEB33640,SAMEA5820623,6169819366,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646017,SAMEA5820623,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:21:00Z,1,SAMEA5820623,IRCC_1_XL_WES,ERP116450,IRCC_1_XL_WES
ERR3654002,WXS,252,17656676100,PRJEB33640,SAMEA5820624,6888368898,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646018,SAMEA5820624,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:24:00Z,1,SAMEA5820624,CRC0078_LMX_WES,ERP116450,CRC0078_LMX_WES
ERR3654003,WXS,252,15427035792,PRJEB33640,SAMEA5820625,5963216345,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646019,SAMEA5820625,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:27:00Z,1,SAMEA5820625,CRC0078_XL_WES,ERP116450,CRC0078_XL_WES
ERR3654004,WXS,252,15452519292,PRJEB33640,SAMEA5820626,6029743824,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646020,SAMEA5820626,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:28:00Z,1,SAMEA5820626,CRC0080_LMX_WES,ERP116450,CRC0080_LMX_WES
ERR3654005,WXS,252,20419714980,PRJEB33640,SAMEA5820627,7977782916,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646021,SAMEA5820627,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:33:00Z,1,SAMEA5820627,CRC0186_LMX_WES,ERP116450,CRC0186_LMX_WES
ERR3654006,WXS,252,15648539508,PRJEB33640,SAMEA5820628,6064184616,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646022,SAMEA5820628,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:31:00Z,1,SAMEA5820628,CRC0186_XL_WES,ERP116450,CRC0186_XL_WES
ERR3654007,WXS,252,17506594224,PRJEB33640,SAMEA5820629,6806151048,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646023,SAMEA5820629,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:32:00Z,1,SAMEA5820629,CRC0394_LMX_WES,ERP116450,CRC0394_LMX_WES
ERR3654008,WXS,252,16548764904,PRJEB33640,SAMEA5820630,6452907529,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646024,SAMEA5820630,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:35:00Z,1,SAMEA5820630,CRC0394_XL_WES,ERP116450,CRC0394_XL_WES
ERR3654009,WXS,252,18055508940,PRJEB33640,SAMEA5820631,6907275886,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646025,SAMEA5820631,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:37:00Z,1,SAMEA5820631,CRC0558_LMX_WES,ERP116450,CRC0558_LMX_WES
ERR3654010,WXS,252,15956934840,PRJEB33640,SAMEA5820632,6157622957,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646026,SAMEA5820632,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:38:00Z,1,SAMEA5820632,CRC0558_XL_WES,ERP116450,CRC0558_XL_WES
ERR3654011,WXS,252,15206606856,PRJEB33640,SAMEA5820633,5924732729,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646027,SAMEA5820633,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:40:00Z,1,SAMEA5820633,HROC46_XL_WES,ERP116450,HROC46_XL_WES
ERR3654012,WXS,252,16648738092,PRJEB33640,SAMEA5820634,6293674867,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646028,SAMEA5820634,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:42:00Z,1,SAMEA5820634,IRCC_5A_LMX_WES,ERP116450,IRCC_5A_LMX_WES
ERR3654013,WXS,252,16200823968,PRJEB33640,SAMEA5820635,6266246407,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646029,SAMEA5820635,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:44:00Z,1,SAMEA5820635,IRCC_5A_XL_WES,ERP116450,IRCC_5A_XL_WES
ERR3654014,WXS,252,22914455256,PRJEB33640,SAMEA5820636,9021271256,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646030,SAMEA5820636,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:47:00Z,1,SAMEA5820636,IRCC_5B_LMX_WES,ERP116450,IRCC_5B_LMX_WES
ERR3654015,WXS,252,16485021000,PRJEB33640,SAMEA5820637,6337587176,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646031,SAMEA5820637,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:48:00Z,1,SAMEA5820637,IRCC_5B_XL_WES,ERP116450,IRCC_5B_XL_WES
ERR3654016,WXS,252,17389775592,PRJEB33640,SAMEA5820638,6868800880,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646032,SAMEA5820638,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:48:00Z,1,SAMEA5820638,CRC0080_XL_WES,ERP116450,CRC0080_XL_WES
ERR3654017,WXS,252,18313670340,PRJEB33640,SAMEA5820639,6823531701,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646033,SAMEA5820639,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:53:00Z,1,SAMEA5820639,HROC112Met_LMX_WES,ERP116450,HROC112Met_LMX_WES
ERR3654018,WXS,252,16707288024,PRJEB33640,SAMEA5820640,6322431013,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646034,SAMEA5820640,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:54:00Z,1,SAMEA5820640,HROC112Met_XL_WES,ERP116450,HROC112Met_XL_WES
ERR3654019,WXS,252,17603794152,PRJEB33640,SAMEA5820641,6819974463,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646035,SAMEA5820641,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:54:00Z,1,SAMEA5820641,HROC131_LMX_WES,ERP116450,HROC131_LMX_WES
ERR3654020,WXS,252,16495959564,PRJEB33640,SAMEA5820642,6340471242,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646036,SAMEA5820642,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:57:00Z,1,SAMEA5820642,HROC131_XL_WES,ERP116450,HROC131_XL_WES
ERR3654021,WXS,252,14341809384,PRJEB33640,SAMEA5820643,5539515779,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646037,SAMEA5820643,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:57:00Z,1,SAMEA5820643,HROC147_LMX_WES,ERP116450,HROC147_LMX_WES
