Position	51484e4a-6754-4d25-934c-7643a178ed76.rna_seq.genomic.gdc_realn.bam
chr22:35663465-35663581	1
chr22:35289092-35289215	0
chr22:35265531-35265645	0
chr22:33881006-33881118	0
chr22:33878934-33879047	0
chr22:33831050-33831165	0
chr22:33751722-33751835	0
chr22:32861167-32861277	0
chr22:32860863-32860980	0
chr22:32110576-32110686	0
chr22:31957354-31957468	0
chr22:31944554-31944667	0
chr22:31685420-31685539	0
chr22:31400710-31400820	0
chr22:31281549-31281662	
chr22:30976200-30976310	0
chr22:30976013-30976131	0
chr22:30932624-30932735	0
chr22:30661980-30662101	0
chr22:30607270-30607380	0
chr22:30025998-30026112	0
chr22:30011895-30012005	0
chr22:29889558-29889668	0
chr22:29838153-29838278	0
chr22:29300428-29300544	0
chr22:28788923-28789039	
chr22:28787145-28787258	0
chr22:27981473-27981583	
chr22:27981180-27981317	
chr22:27924244-27924358	
chr22:26562579-26562691	0
chr22:26488262-26488374	0
chr22:26443569-26443687	
chr22:26443360-26443472	
chr22:25196382-25196494	0
chr22:25059464-25059576	0
chr22:24965051-24965168	0
chr22:24573165-24573275	0
chr22:24572710-24572822	0
chr22:23881839-23881954	
chr22:23784217-23784330	
chr22:23695388-23695527	
chr22:23658062-23658177	
chr22:23180542-23180654	0
chr22:23163556-23163666	0
chr22:22320647-22320757	0
chr22:21698211-21698326	
chr22:21450178-21450288	
chr22:21002589-21002700	0
chr22:20953374-20953502	0
chr22:20890708-20890830	0
chr22:20888261-20888406	0
chr22:20725863-20725978	0
chr22:20145935-20146049	0
chr22:20127144-20127256	0
chr22:20111314-20111428	0
chr22:20065295-20065409	0
chr22:20065037-20065150	0
chr22:19849322-19849435	0
chr22:19441698-19441808	0
chr22:17998513-17998623	0
chr22:17988340-17988450	0
chr22:17978467-17978581	0
chr22:17799899-17800033	0
chr22:17704937-17705051	0
chr22:16601953-16602063	
chr21:46644241-46644351	0
chr21:46569433-46569548	
chr21:46444597-46444714	0
chr21:46267536-46267649	0
chr21:46237356-46237467	0
chr21:45515113-45515226	0
chr21:45437384-45437495	0
chr21:45225020-45225145	
chr21:44771190-44771302	0
chr21:44770206-44770317	0
chr21:44330245-44330358	0
chr21:44144999-44145111	1
chr21:43985347-43985462	0
chr21:43984741-43984851	0
chr21:43984631-43984743	0
chr21:43760131-43760244	0
chr21:43757936-43758052	0
chr21:43695124-43695236	0
chr21:43694143-43694255	0
chr21:43416288-43416416	0
chr21:43414577-43414688	0
chr21:42849044-42849158	0
chr21:42846987-42847098	0
chr21:42775377-42775490	
chr21:42721932-42722044	
chr21:42572772-42572884	0
chr21:42518210-42518321	0
chr21:42296574-42296687	
chr21:41988710-41988822	
chr21:41886609-41886722	
chr21:41275782-41275892	0
chr21:39670203-39670318	0
chr21:39657647-39657760	0
chr21:38823571-38823694	0
chr21:38455068-38455183	0
chr21:38301962-38302072	
chr21:38275469-38275591	
chr21:37512874-37512986	0
chr21:37512613-37512723	0
chr21:37366787-37366898	
chr21:36750969-36751080	
chr21:36739027-36739137	0
chr21:36719896-36720007	0
chr21:36293929-36294043	1
chr21:36256714-36256825	0
chr21:36139332-36139451	0
chr21:34789554-34789668	0
chr21:34094980-34095090	0
chr21:33722494-33722609	0
chr21:33701580-33701695	0
chr21:33592093-33592210	0
chr21:33579086-33579201	0
chr21:33572718-33572833	0
chr21:33503819-33503930	0
chr21:33448857-33448974	
chr21:33445033-33445151	
chr21:33437076-33437189	0
chr21:33357480-33357595	
chr21:33264463-33264576	0
chr21:33233858-33233968	0
chr21:33230955-33231066	0
chr21:32601734-32601848	0
chr21:32507899-32508012	
chr21:32463739-32463849	0
chr21:32268745-32268855	0
chr21:31671058-31671175	
chr21:31120790-31120902	
chr21:31119761-31119872	
chr21:31119057-31119173	
chr21:29344584-29344719	
chr21:29012720-29012832	0
chr21:28929527-28929637	0
chr21:26919177-26919291	
chr21:26234976-26235086	
chr21:17789203-17789337	
chr21:17594177-17594287	0
chr21:17577101-17577214	0
chr21:17569316-17569429	0
chr21:17568507-17568624	0
chr21:17566896-17567008	0
chr21:15730311-15730436	0
chr21:14964123-14964233	0
chr21:14961965-14962093	
chr21:14079934-14080047	
chr21:14069567-14069679	
chr21:9078197-9078322	0
chr21:8441963-8442086	0
chr21:8441877-8441989	0
chr21:8437518-8437630	0
chr21:8258842-8258954	0
chr21:8219935-8220047	0
chr21:8214699-8214822	0
chr21:8214619-8214731	0
chr21:8208429-8208539	0
chr21:8200659-8200778	0
chr21:7771619-7771733	
chr21:6733482-6733598	0
chr21:6484617-6484728	0
chr21:6328756-6328869	0
chr21:6123572-6123683	0
chr21:6121844-6121972	0
chr20:64274249-64274366	
chr20:63732295-63732406	0
chr20:63731655-63731765	0
chr20:63537264-63537376	0
chr20:63196076-63196191	0
chr20:62945306-62945419	0
chr20:62905289-62905400	0
chr20:62295278-62295390	0
chr20:62278499-62278610	0
chr20:62202388-62202511	0
chr20:62197005-62197115	0
chr20:62134424-62134540	0
chr20:59947454-59947564	
chr20:59937616-59937729	
chr20:59324548-59324658	0
chr20:59034840-59034959	0
chr20:58713096-58713206	0
chr20:58704237-58704347	0
chr20:58694867-58694977	0
chr20:58365962-58366072	0
chr20:58355322-58355432	0
chr20:57651804-57651915	0
chr20:57651520-57651630	0
chr20:57648707-57648819	0
chr20:57566111-57566247	
chr20:56638214-56638325	
chr20:53944265-53944378	
chr20:53943915-53944027	
chr20:53568700-53568813	0
chr20:53567782-53567894	
chr20:53487222-53487343	
chr20:53295985-53296105	
chr20:52164709-52164820	0
chr20:51767023-51767140	0
chr20:51753616-51753731	0
chr20:51600757-51600896	1
chr20:51597838-51597948	0
chr20:51505409-51505524	0
chr20:51476025-51476142	0
chr20:50906926-50907037	0
chr20:50890081-50890211	
chr20:50889984-50890095	
chr20:50837949-50838072	
chr20:50753025-50753136	1
chr20:50124812-50124926	0
chr20:50081296-50081412	0
chr20:49952677-49952787	0
chr20:49862769-49862889	0
chr20:49634255-49634367	0
chr20:49633389-49633500	0
chr20:49513080-49513190	0
chr20:49504644-49504760	0
chr20:49253979-49254092	0
chr20:49246822-49246935	0
chr20:49242667-49242790	0
chr20:49144238-49144350	0
chr20:49118365-49118476	0
chr20:49035943-49036055	0
chr20:47656118-47656228	
chr20:47654814-47654933	1
chr20:47654190-47654301	
chr20:47651042-47651171	0
chr20:47210396-47210509	0
chr20:47209405-47209517	0
chr20:46736026-46736137	
chr20:46734244-46734356	0
chr20:46360501-46360611	0
chr20:46352650-46352760	0
chr20:46124584-46124694	0
chr20:46061004-46061114	
chr20:45891548-45891674	0
chr20:45884055-45884193	0
chr20:45841959-45842072	0
chr20:45326248-45326358	0
chr20:45326087-45326197	0
chr20:45325576-45325686	0
chr20:45079584-45079694	0
chr20:45079001-45079115	0
chr20:45078517-45078632	0
chr20:45078158-45078273	
chr20:45077335-45077448	0
chr20:44885704-44885822	0
chr20:44629367-44629489	0
chr20:44499849-44499962	0
chr20:44498386-44498496	0
chr20:44430952-44431062	0
chr20:44430578-44430688	0
chr20:44380297-44380407	0
chr20:44110378-44110491	
chr20:40686899-40687010	0
chr20:40686614-40686733	0
chr20:40686236-40686346	0
chr20:38918973-38919086	0
chr20:38849635-38849745	0
chr20:38577648-38577782	0
chr20:38548769-38548881	0
chr20:38078116-38078232	0
chr20:37992233-37992343	0
chr20:37983098-37983216	0
chr20:37517928-37518043	0
chr20:37405180-37405293	0
chr20:36891644-36891754	0
chr20:36781486-36781596	
chr20:36780214-36780325	
chr20:36652360-36652473	0
chr20:36592335-36592445	0
chr20:36528194-36528304	0
chr20:36528086-36528197	0
chr20:36230722-36230836	
chr20:36046960-36047070	0
chr20:36045855-36045970	0
chr20:35947642-35947754	0
chr20:35887757-35887877	0
chr20:35741959-35742073	1
chr20:35669184-35669295	0
chr20:34508617-34508730	0
chr20:34077049-34077159	0
chr20:33706849-33706959	
chr20:33706390-33706503	
chr20:33683729-33683848	0
chr20:33649113-33649224	
chr20:32733831-32733943	0
chr20:32703106-32703218	0
chr20:32446178-32446294	0
chr20:32360016-32360130	0
chr20:32319462-32319572	0
chr20:32300789-32300921	0
chr20:32196285-32196396	0
chr20:32193791-32193902	0
chr20:32167025-32167136	1
chr20:29298776-29298886	0
chr20:28582383-28582494	
chr20:22581410-22581525	1
chr20:22566765-22566879	
chr20:22563356-22563472	
chr20:20621454-20621570	0
chr20:20392143-20392257	0
chr20:20390640-20390750	1
chr20:19921799-19921935	0
chr20:19892529-19892645	0
chr20:19796040-19796160	0
chr20:18560046-18560159	0
chr20:18488222-18488333	0
chr20:18142346-18142459	0
chr20:17990360-17990473	
chr20:17614052-17614164	0
chr20:14324240-14324352	
chr20:11913305-11913417	0
chr20:10673854-10673965	0
chr20:10638241-10638352	0
chr20:7981347-7981457	0
chr20:7979023-7979137	
chr20:6779097-6779212	
chr20:6768444-6768559	0
chr20:6074999-6075114	0
chr20:5546738-5546848	1
chr20:5197201-5197313	
chr20:5191001-5191112	
chr20:5190291-5190407	
chr20:4854340-4854466	
chr20:4780929-4781044	0
chr20:3868583-3868698	0
chr20:3251091-3251205	
chr20:2854910-2855028	0
chr20:2143908-2144020	
chr20:1939561-1939676	0
chr20:1938371-1938487	0
chr20:1443028-1443140	0
chr20:1369672-1369782	0
chr20:1369331-1369443	1
chr20:483754-483864	0
chr20:328519-328629	0
chr20:277018-277131	0
chr19:58565046-58565160	0
chr19:58555873-58555986	0
chr19:58473024-58473134	0
chr19:58135226-58135337	
chr19:57865839-57865954	0
chr19:57860975-57861085	0
chr19:57622908-57623046	
chr19:57222472-57222585	0
chr19:56812368-56812481	
chr19:56152433-56152549	0
chr19:56087950-56088061	0
chr19:55643650-55643760	0
chr19:55390833-55390943	0
chr19:55186996-55187106	0
chr19:55095417-55095527	0
chr19:55044277-55044387	0
chr19:54993166-54993284	
chr19:54461586-54461700	0
chr19:54358347-54358461	0
chr19:53876211-53876332	0
chr19:53875799-53875910	1
chr19:53875491-53875606	0
chr19:53874721-53874843	0
chr19:53442829-53442939	0
chr19:52648103-52648215	
chr19:52644129-52644242	
chr19:52643310-52643424	
chr19:52379852-52379963	
chr19:52291711-52291826	1
chr19:51824848-51824962	0
chr19:50430692-50430804	
chr19:50378564-50378675	0
chr19:50310121-50310243	0
chr19:49976697-49976808	0
chr19:49933248-49933360	0
chr19:49908084-49908198	0
chr19:49807175-49807291	
chr19:49652087-49652197	0
chr19:49595044-49595155	0
chr19:49591190-49591309	
chr19:49583187-49583298	0
chr19:49340730-49340844	
chr19:49158534-49158671	0
chr19:48868396-48868517	0
chr19:48868202-48868319	0
chr19:48735309-48735424	0
chr19:48705061-48705178	0
chr19:48600600-48600716	0
chr19:48446694-48446805	0
chr19:47742227-47742339	0
chr19:47742099-47742214	0
chr19:47702922-47703040	0
chr19:47656019-47656161	
chr19:47654740-47654856	
chr19:47003868-47004000	0
chr19:46775043-46775153	0
chr19:46410805-46410917	
chr19:46342353-46342466	
chr19:46340000-46340110	
chr19:45863063-45863183	0
chr19:45786447-45786557	0
chr19:45727213-45727324	0
chr19:45711392-45711506	0
chr19:45710946-45711057	0
chr19:45552477-45552593	1
chr19:45549437-45549549	1
chr19:45549312-45549433	0
chr19:45526511-45526623	0
chr19:45409181-45409301	1
chr19:45408011-45408121	0
chr19:45357632-45357742	0
chr19:45275437-45275550	0
chr19:44802223-44802337	0
chr19:44759657-44759769	0
chr19:44644075-44644185	0
chr19:44174089-44174216	0
chr19:44168197-44168308	
chr19:44109268-44109380	
chr19:43661350-43661464	0
chr19:43647888-43648006	0
chr19:43587338-43587448	
chr19:43543291-43543429	1
chr19:42377736-42377852	0
chr19:42088447-42088565	0
chr19:42087088-42087203	0
chr19:42003518-42003628	0
chr19:41771892-41772003	0
chr19:41743441-41743552	0
chr19:41306988-41307100	0
chr19:41017805-41017921	
chr19:40741391-40741504	0
chr19:40607411-40607521	0
chr19:40440836-40440952	0
chr19:39490970-39491089	
chr19:39385621-39385733	0
chr19:39384862-39384976	0
chr19:39178910-39179022	1
chr19:39024778-39024889	
chr19:38942210-38942327	
chr19:38836411-38836522	0
chr19:38730380-38730490	0
chr19:38730080-38730194	0
chr19:38408811-38408929	0
chr19:38331576-38331690	1
chr19:38330275-38330390	0
chr19:38329196-38329312	0
chr19:38328967-38329079	0
chr19:38328886-38329001	0
chr19:38304856-38304966	0
chr19:38208239-38208349	0
chr19:38207375-38207499	0
chr19:38192213-38192323	0
chr19:38120248-38120362	0
chr19:38039643-38039766	0
chr19:37998963-37999075	0
chr19:37932396-37932508	0
chr19:36831089-36831212	
chr19:36818229-36818356	
chr19:36546341-36546458	
chr19:35770838-35770949	
chr19:35768528-35768641	0
chr19:35720402-35720516	0
chr19:35279716-35279826	0
chr19:35268538-35268649	0
chr19:35267836-35267947	0
chr19:35267467-35267578	0
chr19:34482214-34482326	
chr19:34401173-34401285	0
chr19:34400999-34401113	0
chr19:34352919-34353042	
chr19:34227740-34227879	0
chr19:34227652-34227764	0
chr19:34203854-34203971	0
chr19:34172575-34172690	0
chr19:33815640-33815758	
chr19:32886695-32886808	
chr19:32609057-32609173	0
chr19:32608268-32608380	0
chr19:32485342-32485462	
chr19:32385777-32385887	
chr19:30009186-30009301	0
chr19:29701642-29701752	1
chr19:27781056-27781168	
chr19:23828273-23828386	
chr19:23826810-23826920	
chr19:23773039-23773156	
chr19:21532196-21532306	
chr19:21406172-21406282	
chr19:21104544-21104657	
chr19:20641874-20641985	
chr19:20423430-20423542	
chr19:19800341-19800463	
chr19:19507703-19507814	0
chr19:19506856-19506966	0
chr19:19506564-19506677	0
chr19:19505923-19506037	0
chr19:19358029-19358146	1
chr19:18993751-18993863	0
chr19:18929138-18929250	0
chr19:18368388-18368506	0
chr19:18365875-18365985	0
chr19:18364103-18364218	0
chr19:18280224-18280334	0
chr19:18280003-18280117	0
chr19:18126008-18126119	0
chr19:18004966-18005078	0
chr19:17815169-17815280	0
chr19:17814711-17814821	0
chr19:17814258-17814377	0
chr19:17813544-17813659	0
chr19:17810838-17810958	0
chr19:17581859-17581978	0
chr19:17480878-17480992	
chr19:17480327-17480437	
chr19:17323261-17323394	
chr19:17151236-17151351	0
chr19:16552673-16552786	0
chr19:16327443-16327553	0
chr19:16133403-16133516	0
chr19:15887469-15887580	0
chr19:15458888-15459013	
chr19:15394909-15395023	0
chr19:15354501-15354612	1
chr19:15237581-15237692	1
chr19:15160277-15160389	0
chr19:15114577-15114688	0
chr19:14495991-14496125	0
chr19:14458961-14459073	0
chr19:14088103-14088213	0
chr19:14052853-14052969	0
chr19:13993876-13993995	0
chr19:13832076-13832187	0
chr19:13773581-13773696	0
chr19:13772965-13773077	0
chr19:13762267-13762381	0
chr19:13752694-13752805	0
chr19:13139739-13139850	0
chr19:13139118-13139229	0
chr19:13138396-13138510	0
chr19:13097137-13097250	0
chr19:13096939-13097049	0
chr19:12699606-12699722	0
chr19:12699414-12699531	0
chr19:12670107-12670220	0
chr19:12272112-12272225	
chr19:11914265-11914379	
chr19:11817638-11817755	
chr19:11619060-11619170	
chr19:11553532-11553682	0
chr19:11447523-11447640	1
chr19:11352557-11352669	0
chr19:11324209-11324324	0
chr19:11323060-11323174	0
chr19:11322304-11322415	0
chr19:11196007-11196123	0
chr19:11133461-11133577	0
chr19:10691209-10691320	0
chr19:10553525-10553640	0
chr19:10455723-10455834	0
chr19:10286482-10286596	0
chr19:10221761-10221876	
chr19:10160020-10160131	0
chr19:9648625-9648736	0
chr19:9646021-9646138	
chr19:9435147-9435257	0
chr19:9421803-9421914	0
chr19:9143755-9143868	0
chr19:9140493-9140603	0
chr19:8817486-8817598	
chr19:8561409-8561521	0
chr19:8438679-8438798	0
chr19:8326750-8326865	
chr19:8004926-8005036	0
chr19:7931052-7931165	0
chr19:7913720-7913830	0
chr19:7912993-7913119	0
chr19:7637074-7637186	0
chr19:7470466-7470579	0
chr19:7393970-7394081	
chr19:7392997-7393122	
chr19:7372436-7372547	
chr19:7363991-7364105	
chr19:7281287-7281406	0
chr19:7265685-7265801	0
chr19:7116650-7116771	0
chr19:7116494-7116606	0
chr19:7116075-7116188	0
chr19:7114859-7114969	0
chr19:7113601-7113716	0
chr19:7112810-7112920	0
chr19:6717358-6717482	0
chr19:6708090-6708204	0
chr19:6469674-6469784	1
chr19:6468981-6469094	0
chr19:6414014-6414124	0
chr19:6413775-6413890	0
chr19:6413156-6413269	0
chr19:6413094-6413204	0
chr19:6379691-6379806	0
chr19:6279772-6279899	0
chr19:5909434-5909547	
chr19:5814815-5814927	
chr19:5809120-5809238	
chr19:5668383-5668495	0
chr19:5587038-5587153	0
chr19:5206200-5206311	
chr19:4960887-4960998	0
chr19:4795328-4795443	1
chr19:4794486-4794601	0
chr19:4675316-4675426	0
chr19:4523040-4523153	
chr19:4352126-4352237	0
chr19:4046557-4046667	0
chr19:4046382-4046499	0
chr19:4044660-4044770	0
chr19:4044333-4044446	0
chr19:4043404-4043518	0
chr19:4043280-4043393	0
chr19:4038000-4038110	1
chr19:4036543-4036654	0
chr19:4035862-4035973	0
chr19:4035821-4035932	0
chr19:4035780-4035891	0
chr19:3924723-3924835	0
chr19:3469107-3469217	0
chr19:3469048-3469158	0
chr19:3468581-3468691	0
chr19:3466608-3466721	1
chr19:3466173-3466284	0
chr19:3465273-3465384	0
chr19:3126118-3126228	
chr19:3125484-3125599	
chr19:3122894-3123004	0
chr19:3121417-3121532	0
chr19:3121251-3121362	0
chr19:3053018-3053131	0
chr19:3023944-3024063	0
chr19:2785577-2785689	0
chr19:2514936-2515055	
chr19:2514155-2514269	
chr19:2512321-2512431	
chr19:2428188-2428298	0
chr19:2072696-2072809	1
chr19:2039385-2039495	0
chr19:2037797-2037913	0
chr19:2037581-2037697	0
chr19:1611323-1611435	0
chr19:1554863-1554978	0
chr19:1505319-1505432	1
chr19:1434961-1435072	0
chr19:1364423-1364533	0
chr19:1301064-1301177	0
chr19:1272727-1272838	1
chr19:1259030-1259145	0
chr19:1257467-1257588	0
chr19:1228009-1228120	0
chr19:1206747-1206857	1
chr19:1087662-1087772	0
chr19:1086943-1087058	0
chr19:1046530-1046640	0
chr19:1037919-1038033	1
chr19:975713-975827	0
chr18:80140229-80140341	0
chr18:77082927-77083039	0
chr18:77016103-77016215	0
chr18:77015215-77015325	0
chr18:75289301-75289411	
chr18:75289021-75289133	0
chr18:75201203-75201321	0
chr18:74782507-74782631	
chr18:66622164-66622274	
chr18:63390576-63390686	0
chr18:63331276-63331395	0
chr18:63330759-63330874	1
chr18:63328305-63328420	
chr18:63319388-63319499	
chr18:63277412-63277522	
chr18:63128433-63128543	
chr18:63126984-63127094	
chr18:62576905-62577015	0
chr18:62385432-62385542	1
chr18:62385293-62385404	0
chr18:62072679-62072792	
chr18:62045168-62045279	
chr18:61811068-61811178	
chr18:61810997-61811110	
chr18:59328518-59328628	0
chr18:58985717-58985835	
chr18:58746679-58746790	0
chr18:58719266-58719380	0
chr18:58397331-58397441	0
chr18:58389692-58389805	0
chr18:58387369-58387481	0
chr18:58325001-58325115	0
chr18:58184885-58185003	0
chr18:57795187-57795297	0
chr18:57737217-57737327	0
chr18:57648802-57648937	0
chr18:55227198-55227311	
chr18:55226645-55226755	0
chr18:55226223-55226334	
chr18:55225607-55225717	0
chr18:55224587-55224698	
chr18:55224114-55224229	0
chr18:55224002-55224114	0
chr18:55223659-55223772	
chr18:55222431-55222544	
chr18:54905359-54905483	
chr18:54904034-54904149	
chr18:54901839-54901949	0
chr18:54862009-54862121	0
chr18:54847805-54847915	0
chr18:51083962-51084094	
chr18:51083411-51083522	
