Position	b17f7e44-a968-4207-aa50-3a94ad945de6_wxs_gdc_realn.bam
chrY:11295742-11295857	0
chrY:11295607-11295719	0
chrY:11295465-11295582	0
chrY:11295193-11295309	1
chrY:11295047-11295163	0
chrY:11294777-11294896	0
chrY:11294703-11294853	0
chrY:11294230-11294349	0
chrY:11294215-11294331	0
chrY:11294175-11294291	0
chrY:11293879-11293995	0
chrY:11293803-11293920	0
chrY:11293010-11293133	0
chrY:11292974-11293094	0
chrY:11292714-11292833	0
chrY:11292576-11292695	1
chrY:11037120-11037239	
chrY:11033838-11033957	0
chrY:11030155-11030273	0
chrY:11022859-11022978	0
chrY:11022028-11022147	0
chrY:11018241-11018356	0
chrY:11014477-11014592	0
chrY:11014452-11014573	0
chrY:11014382-11014548	0
chrY:11014324-11014478	0
chrY:10999809-10999979	0
chrY:10997727-10997848	0
chrY:10989111-10989228	0
chrY:10988572-10988691	0
chrY:10988547-10988671	0
chrY:10987866-10987984	0
chrY:10987821-10987940	0
chrY:10987756-10987915	0
chrY:10986824-10986943	0
chrY:10986358-10986485	0
chrY:10980647-10980810	0
chrY:10973934-10974050	
chrY:10973885-10974004	0
chrY:10973598-10973723	0
chrY:10971939-10972058	0
chrY:10971919-10972036	0
chrY:10969233-10969351	0
chrY:10965573-10965689	0
chrY:10962582-10962699	0
chrY:10961368-10961488	0
chrY:10958503-10958622	0
chrY:10958261-10958427	0
chrY:10942619-10942738	0
chrY:10940348-10940467	1
chrY:10938968-10939084	0
chrY:10935529-10935678	0
chrY:10926591-10926708	0
chrY:10926478-10926594	0
chrY:10925446-10925595	0
chrY:10892492-10892656	0
chrY:10887974-10888093	0
chrY:10885054-10885171	0
chrY:10880294-10880413	0
chrY:10877805-10877921	0
chrY:10877785-10877901	0
chrY:10877740-10877859	0
chrY:10873092-10873221	1
chrY:10851007-10851124	0
chrY:10847002-10847119	0
chrY:10845657-10845784	0
chrY:10845617-10845756	0
chrY:10841946-10842062	0
chrY:10828683-10828801	0
chrY:10821864-10821997	0
chrY:10818646-10818761	1
chrY:10808593-10808709	0
chrY:10808568-10808684	0
chrY:10807293-10807410	0
chrY:10807180-10807297	0
chrY:10801712-10801831	0
chrY:10799582-10799698	0
chrY:10796589-10796772	0
chrY:10794241-10794360	0
chrY:10789364-10789480	0
chrY:10789265-10789448	0
chrY:10785209-10785374	0
chrY:10781275-10781390	0
chrY:10776505-10776623	0
chrY:10776438-10776604	0
chrY:10772449-10772567	0
chrY:10770584-10770704	0
chrY:10764577-10764700	0
chrY:10763093-10763212	0
chrY:10763073-10763192	0
chrY:10760307-10760426	1
chrY:10759962-10760084	0
chrY:10759839-10759956	0
chrY:10759777-10759904	0
chrY:10757352-10757475	0
chrY:10755322-10755441	0
chrY:10754712-10754829	0
chrY:10753197-10753321	0
chrY:10746949-10747101	1
chrY:10746889-10747017	0
chrY:10744254-10744372	0
chrY:10688016-10688133	0
chrY:10682534-10682652	0
chrY:10682444-10682608	0
chrY:10673896-10674021	0
chrY:10664791-10664906	0
chrY:10657322-10657464	0
chrY:10648019-10648179	0
chrY:10023241-10023352	
chrY:9311888-9311999	
chrY:5100698-5100809	
chrY:2864931-2865042	
chrY:2854726-2854836	
chrX:156010106-156010219	0
chrX:156005067-156005181	
chrX:155898340-155898450	0
chrX:155781061-155781178	0
chrX:155491629-155491745	
chrX:155349501-155349618	
chrX:155293447-155293558	
chrX:155292720-155292851	0
chrX:155228313-155228424	
chrX:155099135-155099251	
chrX:155073297-155073408	0
chrX:154904991-154905103	0
chrX:154860344-154860464	0
chrX:154781319-154781430	0
chrX:154781267-154781377	0
chrX:154776763-154776886	0
chrX:154773234-154773356	0
chrX:154766445-154766556	
chrX:154766144-154766256	
chrX:154678050-154678166	0
chrX:154641358-154641474	0
chrX:154618866-154618996	0
chrX:154585428-154585558	0
chrX:154562963-154563078	0
chrX:154439626-154439737	0
chrX:154438688-154438800	0
chrX:154428737-154428858	0
chrX:154193271-154193381	0
chrX:154156157-154156267	0
chrX:154092106-154092219	
chrX:154014321-154014443	
chrX:153672904-153673032	0
chrX:153672877-153672987	
chrX:153558040-153558150	0
chrX:153454461-153454598	
chrX:153059174-153059284	0
chrX:152918975-152919097	0
chrX:152827945-152828057	
chrX:152775136-152775248	0
chrX:152224687-152224802	0
chrX:152134368-152134487	
chrX:151954555-151954672	
chrX:151923733-151923845	0
chrX:151744427-151744537	0
chrX:151742990-151743100	
chrX:151648377-151648488	
chrX:151620859-151620974	0
chrX:151404800-151404912	0
chrX:150831252-150831363	0
chrX:150730243-150730354	
chrX:150712691-150712802	0
chrX:150614728-150614839	
chrX:149769829-149769939	0
chrX:149631685-149631831	
chrX:149631552-149631667	0
chrX:149500992-149501103	0
chrX:148966627-148966742	
chrX:148953764-148953886	0
chrX:148843197-148843309	
chrX:148198724-148198835	
chrX:147929876-147929987	0
chrX:147231115-147231225	0
chrX:145825119-145825241	0
chrX:144841480-144841600	
chrX:143508629-143508745	
chrX:143033972-143034085	0
chrX:141584029-141584140	0
chrX:141263671-141263781	0
chrX:141138813-141138934	
chrX:140505172-140505282	0
chrX:139965614-139965736	
chrX:139958433-139958546	
chrX:139957966-139958080	0
chrX:139799963-139800074	0
chrX:139789152-139789264	0
chrX:139782723-139782836	0
chrX:139768444-139768554	0
chrX:139761821-139761933	
chrX:139757820-139757931	0
chrX:139642632-139642747	
chrX:139631234-139631358	0
chrX:139617812-139617929	
chrX:139616547-139616659	
chrX:139616443-139616555	0
chrX:139596449-139596561	0
chrX:139587817-139587942	
chrX:138738976-138739087	
chrX:136879378-136879491	0
chrX:136876666-136876781	0
chrX:136747634-136747755	
chrX:136685554-136685672	
chrX:136682914-136683024	0
chrX:136667745-136667855	
chrX:136650523-136650635	
chrX:136650506-136650617	0
chrX:136647996-136648113	
chrX:136548469-136548579	0
chrX:136491863-136491989	0
chrX:136399747-136399860	0
chrX:136393351-136393461	0
chrX:136359521-136359631	0
chrX:136246100-136246210	0
chrX:136230976-136231091	1
chrX:136209788-136209907	0
chrX:136033460-136033571	
chrX:136013455-136013567	0
chrX:135998414-135998526	0
chrX:135970934-135971044	0
chrX:135865306-135865417	
chrX:135850373-135850488	
chrX:135848027-135848138	
chrX:135830777-135830889	
chrX:135815856-135815970	
chrX:135813509-135813620	
chrX:135798582-135798698	
chrX:135796235-135796347	
chrX:135778973-135779085	
chrX:135761689-135761800	
chrX:135721583-135721695	
chrX:135719235-135719347	
chrX:135574032-135574147	0
chrX:135546430-135546540	0
chrX:135361143-135361253	0
chrX:135215777-135215888	0
chrX:135179614-135179724	0
chrX:135156678-135156789	0
chrX:134991667-134991779	0
chrX:134899146-134899258	0
chrX:134891359-134891471	0
chrX:134854028-134854138	0
chrX:134845509-134845620	
chrX:134829419-134829532	
chrX:134814653-134814770	1
chrX:134788525-134788635	0
chrX:134787560-134787684	
chrX:134541486-134541634	
chrX:134499753-134499864	
chrX:134486394-134486508	0
chrX:134413999-134414109	0
chrX:134394083-134394198	
chrX:134393608-134393718	0
chrX:134378176-134378287	0
chrX:134377782-134377893	0
chrX:134273637-134273747	0
chrX:134273352-134273462	0
chrX:133754130-133754246	0
chrX:133535976-133536089	
chrX:133324500-133324619	0
chrX:133216924-133217039	
chrX:132669274-132669396	
chrX:132379642-132379759	0
chrX:132099510-132099621	0
chrX:132097379-132097490	0
chrX:132086145-132086255	
chrX:132069360-132069502	0
chrX:132068138-132068251	0
chrX:131282273-131282386	
chrX:131085308-131085422	
chrX:131081454-131081564	
chrX:130670224-130670339	1
chrX:130497515-130497629	0
chrX:130496708-130496828	0
chrX:130412236-130412349	
chrX:130349185-130349297	0
chrX:130228792-130228902	0
chrX:130227809-130227920	0
chrX:130220230-130220341	
chrX:130209579-130209689	0
chrX:130204949-130205064	0
chrX:130138420-130138535	
chrX:130133580-130133692	
chrX:130133439-130133552	0
chrX:130131827-130131940	0
chrX:130069173-130069288	
chrX:130037093-130037203	
chrX:129921595-129921705	0
chrX:129913329-129913439	0
chrX:129851972-129852082	0
chrX:129814871-129814986	
chrX:129540604-129540714	
chrX:129523149-129523260	0
chrX:129496949-129497072	
chrX:127623245-127623355	0
chrX:124704808-124704920	
chrX:124520741-124520858	
chrX:124481659-124481776	0
chrX:124404902-124405037	1
chrX:124382888-124383025	
chrX:124100505-124100618	1
chrX:124071078-124071192	0
chrX:124066093-124066220	0
chrX:124061693-124061818	0
chrX:124051546-124051656	
chrX:124051049-124051168	0
chrX:124026078-124026221	0
chrX:123695863-123695973	0
chrX:123671721-123671831	0
chrX:123638719-123638846	
chrX:123623997-123624107	1
chrX:123623451-123623562	
chrX:123483061-123483176	
chrX:123464734-123464846	
chrX:120869677-120869787	0
chrX:120868627-120868743	
chrX:120560211-120560331	0
chrX:120546725-120546835	
chrX:120542991-120543102	0
chrX:120541449-120541562	0
chrX:120535654-120535778	0
chrX:120534317-120534427	
chrX:120529892-120530003	
chrX:120447663-120447782	0
chrX:120287290-120287402	
chrX:120256738-120256852	0
chrX:120253928-120254048	0
chrX:120160124-120160237	0
chrX:120159122-120159232	0
chrX:120076065-120076178	0
chrX:119936800-119936911	
chrX:119934380-119934505	
chrX:119873496-119873608	
chrX:119851698-119851814	0
chrX:119837565-119837685	
chrX:119831277-119831389	
chrX:119625494-119625610	
chrX:119620051-119620165	0
chrX:119618493-119618603	
chrX:119565005-119565116	
chrX:119560006-119560117	
chrX:119545302-119545417	0
chrX:119221423-119221539	
chrX:119081216-119081339	0
chrX:118878964-118879074	0
chrX:118791571-118791687	
chrX:118776491-118776612	
chrX:118749800-118749910	0
chrX:118628096-118628206	0
chrX:118627285-118627396	
chrX:118599246-118599356	0
chrX:118584646-118584757	0
chrX:118545221-118545332	0
chrX:118398187-118398306	0
chrX:118396899-118397011	0
chrX:118393986-118394096	0
chrX:118387151-118387265	
chrX:118386352-118386466	0
chrX:117901901-117902012	0
chrX:116963491-116963612	
chrX:116689970-116690080	
chrX:115636765-115636878	0
chrX:115610437-115610551	
chrX:114731220-114731331	0
chrX:111847029-111847144	0
chrX:111757443-111757559	0
chrX:111728109-111728221	0
chrX:111251250-111251364	0
chrX:111192303-111192413	0
chrX:111192206-111192316	0
chrX:111172929-111173039	0
chrX:111163393-111163504	0
chrX:110792255-110792365	0
chrX:110264391-110264502	0
chrX:110173410-110173524	
chrX:110144592-110144702	
chrX:110067129-110067244	
chrX:109680831-109680941	0
chrX:109542433-109542543	0
chrX:109392778-109392890	1
chrX:108696363-108696478	0
chrX:108674752-108674862	0
chrX:108601478-108601596	0
chrX:108596929-108597044	0
chrX:108586540-108586650	0
chrX:108584480-108584592	0
chrX:108582645-108582764	
chrX:108580732-108580846	0
chrX:108440221-108440331	
chrX:108221047-108221158	
chrX:108195225-108195339	
chrX:108180394-108180521	0
chrX:108172398-108172508	
chrX:108171489-108171599	1
chrX:107926016-107926128	1
chrX:107603197-107603318	0
chrX:107218683-107218793	0
chrX:107153337-107153447	0
chrX:106956665-106956783	
chrX:106941321-106941461	
chrX:106866003-106866113	0
chrX:106854285-106854395	0
chrX:106849170-106849292	0
chrX:106784999-106785110	0
chrX:106669311-106669423	0
chrX:105921808-105921919	
chrX:105895313-105895446	0
chrX:105407103-105407216	0
chrX:103909109-103909219	0
chrX:103502198-103502308	0
chrX:103377424-103377534	0
chrX:103217095-103217205	0
chrX:102752886-102752997	0
chrX:102751899-102752019	0
chrX:102658619-102658733	0
chrX:102658342-102658457	0
chrX:102564126-102564243	0
chrX:102549839-102549949	0
chrX:102369319-102369431	0
chrX:102368615-102368759	0
chrX:102367563-102367688	0
chrX:102365797-102365909	0
chrX:102321205-102321317	0
chrX:102319451-102319561	0
chrX:102318400-102318520	0
chrX:102317692-102317802	0
chrX:102154232-102154348	0
chrX:101883416-101883527	0
chrX:101842226-101842340	
chrX:101841324-101841450	0
chrX:101840299-101840418	0
chrX:101838534-101838644	0
chrX:101778616-101778729	
chrX:101554640-101554750	0
chrX:101538395-101538511	0
chrX:101413894-101414007	0
chrX:101411869-101411982	0
chrX:101369742-101369856	
chrX:101359985-101360097	
chrX:101353020-101353135	
chrX:101350039-101350155	
chrX:101281835-101281953	0
chrX:101277453-101277566	
chrX:101276420-101276533	1
chrX:101275274-101275387	
chrX:101120826-101120943	0
chrX:101102466-101102579	
chrX:101020621-101020737	
chrX:101010359-101010469	
chrX:100838167-100838277	0
chrX:100822045-100822160	
chrX:100688370-100688487	0
chrX:100675845-100675970	
chrX:100633268-100633378	0
chrX:100632355-100632467	0
chrX:100599241-100599354	0
chrX:100598985-100599095	0
chrX:100150518-100150631	0
chrX:97429760-97429872	0
chrX:96916367-96916485	0
chrX:96885134-96885245	0
chrX:93673130-93673240	0
chrX:93673103-93673223	
chrX:92262962-92263076	0
chrX:91879264-91879375	0
chrX:91437801-91437913	0
chrX:90039607-90039721	0
chrX:87617801-87617911	0
chrX:85981770-85981886	0
chrX:85911166-85911286	0
chrX:85879018-85879128	0
chrX:85308232-85308342	0
chrX:85279325-85279435	0
chrX:85270230-85270345	0
chrX:85269798-85269908	0
chrX:85268218-85268341	0
chrX:84148090-84148201	0
chrX:84065084-84065196	0
chrX:84064399-84064513	0
chrX:81121626-81121738	1
chrX:80791941-80792051	0
chrX:80736041-80736154	0
chrX:80733545-80733659	
chrX:80691941-80692054	0
chrX:80687050-80687173	
chrX:80682073-80682184	0
chrX:80027324-80027443	0
chrX:79360896-79361007	
chrX:78961852-78961963	0
chrX:78757029-78757141	0
chrX:78756840-78756950	0
chrX:78137836-78137946	0
chrX:78009374-78009485	
chrX:78008967-78009085	0
chrX:77855275-77855386	
chrX:77830920-77831084	0
chrX:77717026-77717136	0
chrX:77599534-77599657	0
chrX:77508151-77508264	
chrX:76173171-76173281	0
chrX:75505846-75505964	0
chrX:75478942-75479052	1
chrX:75431474-75431585	0
chrX:75167709-75167820	
chrX:75112700-75112810	
chrX:74398465-74398579	
chrX:74287548-74287658	
chrX:74286768-74286884	
chrX:73852055-73852168	
chrX:73851960-73852071	
chrX:73563328-73563445	
chrX:73213777-73213903	0
chrX:73078588-73078708	0
chrX:73077672-73077802	0
chrX:72874670-72874787	0
chrX:72846080-72846204	0
chrX:72713656-72713772	
chrX:72676210-72676327	
chrX:72636450-72636563	
chrX:72626714-72626825	
chrX:72599670-72599780	0
chrX:72593291-72593404	
chrX:72572075-72572188	0
chrX:72490747-72490858	
chrX:72272523-72272634	
chrX:72208661-72208771	0
chrX:72196634-72196744	0
chrX:72144654-72144796	
chrX:72044909-72045024	
chrX:71612233-71612358	0
chrX:71594757-71594873	0
chrX:71592548-71592663	0
chrX:71555084-71555229	0
chrX:71547776-71547886	
chrX:71423355-71423465	
chrX:71407753-71407868	0
chrX:71398294-71398409	
chrX:71393174-71393315	0
chrX:71389468-71389578	0
chrX:71388863-71388974	0
chrX:71379055-71379178	0
chrX:71375025-71375141	
chrX:71315273-71315397	
chrX:71301964-71302076	0
chrX:71243558-71243668	
chrX:71170132-71170251	
chrX:71148879-71148994	0
chrX:71141751-71141862	0
chrX:71141227-71141341	0
chrX:71140779-71140898	
chrX:71133286-71133400	
chrX:71132717-71132879	0
chrX:71111200-71111313	
chrX:71109904-71110022	
chrX:71044657-71044767	0
chrX:71040837-71040948	0
chrX:70963397-70963522	0
chrX:70963286-70963402	0
chrX:70861011-70861129	
chrX:70833229-70833363	
chrX:70744191-70744308	0
chrX:70740753-70740864	0
chrX:70678842-70678955	1
chrX:70623661-70623771	
chrX:70610184-70610300	
chrX:70591574-70591684	
chrX:70498612-70498724	0
chrX:70493276-70493387	0
chrX:70407057-70407171	0
chrX:70404477-70404588	
chrX:70387312-70387423	0
chrX:70387082-70387194	0
chrX:70284200-70284314	0
chrX:70280952-70281063	
chrX:70042954-70043064	0
chrX:68785104-68785219	0
chrX:68784147-68784260	0
chrX:68521526-68521641	
chrX:68209942-68210055	
chrX:68112011-68112139	
chrX:68052239-68052355	
chrX:67792441-67792552	
chrX:67723470-67723590	
chrX:67545266-67545435	0
chrX:66266368-66266478	0
chrX:66258750-66258879	0
chrX:66207028-66207138	0
chrX:66189423-66189538	
chrX:65733022-65733135	0
chrX:65524249-65524360	0
chrX:65328471-65328581	
chrX:64306059-64306169	
chrX:64304945-64305061	
chrX:63785815-63785925	
chrX:63754358-63754470	0
chrX:63644117-63644231	
chrX:62779680-62779795	0
chrX:57910405-57910515	1
chrX:57431695-57431811	
chrX:56270354-56270472	
chrX:56270331-56270450	0
chrX:56269475-56269598	0
chrX:55281689-55281804	0
chrX:55090316-55090430	0
chrX:55076369-55076481	0
chrX:55076320-55076439	
chrX:55076288-55076403	0
chrX:55020930-55021042	0
chrX:55001481-55001591	
chrX:54841953-54842063	1
chrX:54774154-54774272	0
chrX:54558663-54558773	0
chrX:54456588-54456700	0
chrX:54456112-54456225	0
chrX:54444562-54444672	0
chrX:54308147-54308259	0
chrX:54294850-54294965	
chrX:54259069-54259186	
chrX:54239058-54239207	
chrX:54202158-54202268	0
chrX:54091189-54091299	0
chrX:54016443-54016558	
chrX:53826297-53826409	
chrX:53768885-53768995	
chrX:53628414-53628533	0
chrX:53627513-53627623	0
chrX:53608956-53609073	0
chrX:53603505-53603616	0
chrX:53602638-53602755	0
chrX:53562079-53562196	0
chrX:53547771-53547885	0
chrX:53251162-53251275	0
chrX:53079721-53079841	0
chrX:53079552-53079668	0
chrX:53077968-53078096	0
chrX:52866500-52866625	0
chrX:52813063-52813173	0
chrX:52781176-52781353	0
chrX:52759630-52759740	0
chrX:52753998-52754114	0
chrX:52753582-52753700	
chrX:52753119-52753233	1
chrX:52705196-52705310	0
chrX:52704315-52704431	0
chrX:52698691-52698801	0
chrX:52677179-52677290	0
chrX:52656252-52656364	
chrX:52652492-52652609	
chrX:52652073-52652186	1
chrX:52645218-52645334	0
chrX:52625436-52625549	0
chrX:52612854-52612964	
chrX:52611210-52611320	0
chrX:52496626-52496740	
chrX:52421995-52422106	0
chrX:52421301-52421411	
chrX:52375670-52375784	0
chrX:52200929-52201053	0
chrX:52200864-52201001	0
chrX:52185710-52185820	0
chrX:52068282-52068392	0
chrX:52053093-52053230	0
chrX:52053041-52053165	0
chrX:51894559-51894672	0
chrX:50607707-50607819	0
chrX:50607663-50607780	0
chrX:50422547-50422685	
chrX:50080434-50080548	0
chrX:50013114-50013226	
chrX:49882314-49882424	0
chrX:49694471-49694581	
chrX:49693971-49694115	0
chrX:49668246-49668363	0
chrX:49605858-49606000	
chrX:49600864-49600980	
chrX:49600362-49600472	
chrX:49596898-49597013	
chrX:49591337-49591455	
chrX:49590835-49590945	
chrX:49581791-49581903	
chrX:49581291-49581401	
chrX:49572242-49572354	
chrX:49571742-49571852	
chrX:49562184-49562294	
chrX:49558720-49558835	
chrX:49553131-49553243	
chrX:49552631-49552741	
chrX:49543575-49543687	
chrX:49543075-49543185	
chrX:49534019-49534131	
chrX:49533519-49533629	
chrX:49342991-49343103	
chrX:49342491-49342601	
chrX:49339024-49339139	
chrX:49333425-49333554	
chrX:49332925-49333035	
chrX:49323880-49324009	
chrX:49323381-49323491	
chrX:49319915-49320030	
chrX:49305544-49305662	
chrX:49219715-49219836	0
chrX:49183610-49183729	0
chrX:49174379-49174493	0
chrX:49122251-49122361	
chrX:49030427-49030537	0
chrX:48987904-48988060	
chrX:48957678-48957801	0
chrX:48918354-48918472	
chrX:48902340-48902452	0
chrX:48901013-48901126	
chrX:48818437-48818549	
chrX:48817201-48817319	
chrX:48815707-48815818	0
chrX:48803058-48803168	0
chrX:48773211-48773321	
chrX:48598596-48598707	0
chrX:48523661-48523779	
chrX:48520547-48520672	
chrX:48511155-48511273	
chrX:48448418-48448533	
chrX:48441736-48441850	0
chrX:48414224-48414384	
chrX:48411456-48411577	0
chrX:48410818-48410933	0
chrX:48409801-48409912	0
chrX:48405421-48405531	
chrX:48389893-48390003	
chrX:48385512-48385623	0
chrX:48384492-48384606	0
chrX:48383848-48383969	0
chrX:48358480-48358593	
chrX:48354700-48354814	0
chrX:48354235-48354351	
chrX:48353823-48353933	0
chrX:48296593-48296711	0
chrX:48277030-48277140	0
chrX:48258695-48258805	0
chrX:48245074-48245184	
chrX:48198509-48198677	
chrX:48194808-48194919	0
chrX:48194363-48194475	0
chrX:48193951-48194063	0
chrX:48165096-48165209	0
chrX:48159397-48159516	0
chrX:48158383-48158493	0
chrX:48060184-48060337	
chrX:47895930-47896040	0
chrX:47804427-47804541	0
chrX:47571162-47571298	
chrX:47571060-47571192	0
chrX:47484758-47484875	
chrX:47247901-47248017	
chrX:47246970-47247084	0
chrX:47245494-47245611	
chrX:47243214-47243337	0
chrX:47241597-47241707	0
chrX:47203697-47203814	0
chrX:47171136-47171251	0
chrX:47144396-47144513	0
chrX:47024905-47025015	0
chrX:46879605-46879716	0
chrX:46877653-46877783	
chrX:46653775-46653888	
chrX:46651405-46651515	
chrX:46643351-46643461	0
chrX:45746857-45746999	
chrX:45090656-45090767	0
chrX:45079451-45079593	
chrX:45079021-45079132	0
chrX:45076629-45076742	0
chrX:45061246-45061356	0
chrX:45058926-45059040	0
chrX:44542638-44542748	0
chrX:44527148-44527263	0
chrX:43781295-43781405	
chrX:43780223-43780336	0
chrX:43740600-43740715	
chrX:41790069-41790179	
chrX:41745373-41745483	0
chrX:41671352-41671464	0
chrX:41569701-41569811	0
chrX:41523994-41524108	0
chrX:41347796-41347906	0
chrX:41344373-41344495	0
chrX:41224634-41224744	0
chrX:41218232-41218342	0
chrX:41215786-41215899	0
chrX:41214426-41214536	0
chrX:41205583-41205700	
chrX:41187779-41187898	
chrX:41186780-41186894	
chrX:41184291-41184401	0
chrX:41183774-41183884	
chrX:41172098-41172208	
chrX:40890458-40890570	
chrX:40832330-40832443	
chrX:40729303-40729415	
chrX:40729248-40729358	0
chrX:40713902-40714012	0
chrX:40692961-40693073	
chrX:40692297-40692413	0
chrX:40682506-40682617	0
